Time;RPM;RPMDelta;RPMPeriod;EGT;EGT_delta;Pompe1;Cible Pompe1;Pompe2;Glow;Vanne1;Vanne2;Voie Gaz;Voie Aux;Vbatt;Glow current;Stater;ErrorMsg;PhaseF;PhaseS
00:01;0;0;0;24;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.55;-0.002;0.00;Thr signal lost - Aux signal lost;1;1
00:01;0;0;0;24;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.56;-0.002;0.00;Thr signal lost - Aux signal lost;1;1
00:01;0;0;0;24;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.55;-0.003;0.00;Thr signal lost - Aux signal lost;1;1
00:02;0;0;0;24;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.55;-0.003;0.00;Thr signal lost - Aux signal lost;1;1
00:02;8;0;1843638;24;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.56;-0.003;0.00;Thr signal lost - Aux signal lost;1;1
00:02;8;0;1843638;24;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.56;0.088;0.00;Thr signal lost - Aux signal lost;1;1
00:02;8;0;1843638;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.55;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:03;8;8;1843638;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.56;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:03;8;8;1843638;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.55;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:03;8;8;1843638;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.56;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:03;8;8;1843638;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.55;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:04;0;0;0;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.55;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:04;0;0;0;24;0;0.000000;Cible Pompe1;0.000000;3;0;0;0;0;7.55;0.039;7.70;Thr signal lost - Aux signal lost;1;2
00:04;1212;0;357818;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.29;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:05;645;637;291615;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.43;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:05;1500;637;116395;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.37;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:05;794;637;61926;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.46;0.040;4.60;Thr signal lost - Aux signal lost;1;2
00:05;1643;637;41290;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.53;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:06;1643;998;37116;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.54;0.039;4.60;Aux signal lost - Thr signal lost;1;2
00:06;1667;998;36021;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Aux signal lost - Thr signal lost;1;2
00:06;1717;998;35678;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Aux signal lost - Thr signal lost;1;2
00:06;1714;998;34749;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.040;4.60;Aux signal lost - Thr signal lost;1;2
00:07;1739;96;34708;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:07;1764;96;34138;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:07;1739;96;34618;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:07;1739;96;34282;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:08;922;0;42151;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:08;1790;0;38162;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:08;348;0;83869;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:08;1714;0;56354;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:09;218;-25;111015;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.040;4.60;Thr signal lost - Aux signal lost;1;2
00:09;1714;-25;42129;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:09;582;-25;54863;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.040;4.60;Thr signal lost - Aux signal lost;1;2
00:09;1715;-25;51829;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:10;215;1;108484;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:10;1764;1;43857;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.040;4.60;Thr signal lost - Aux signal lost;1;2
00:10;1764;1;35371;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:10;1764;1;33721;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.039;4.60;Thr signal lost - Aux signal lost;1;2
00:11;1901;30;33638;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Aux signal lost - Thr signal lost;1;2
00:11;1629;30;34787;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.56;0.039;4.60;Aux signal lost - Thr signal lost;1;2
00:11;1746;30;34365;24;0;0.000000;Cible Pompe1;0.000000;3;0;255;0;0;7.55;0.040;4.60;Aux signal lost - Thr signal lost;1;2
